What genre of music do you most likely to listen to? 	What kind of fashion style do you like the most? 	What kind of art performances do you like the most? 	What kind of art exhibitions do you like the most?
"Pop, Ballad, R&B / Soul"	"Workwear, Vintage, Bohemian"	Traditional Art	Photography
"Pop, Dance, Rock / Metal"	"Casual, Street, Preppy"	Music Performances	Art Design
"Pop, Ballad, Dance"	"Casual, Workwear, Vintage"	Musicals	Photography
"Pop, Ballad, Dance"	"Casual, Workwear, Street"	Theater	Architecture
"Pop, Ballad, Indie"	"Casual, Workwear, Chic"	Music Performances	Architecture
"Pop, Dance, R&B / Soul"	"Casual, Workwear, Chic"	Theater	Paintings
"Dance, Rap/Hiphop, Rock / Metal"	"Casual, Workwear, Street"	Dance	"Paintings, Sculptures, Photography, Art Design, Crafting, Architecture"
"Pop, Rap/Hiphop, Indie"	"Workwear, Techwear, Dandy"	Music Performances	Architecture
"Pop, Idol, R&B / Soul"	"Casual, Street, Chic"	Music Performances	"Paintings, Art Design, Crafting"
"Pop, Idol, Rap/Hiphop"	"Casual, Street, Preppy"	Dance	"Photography, Crafting, Architecture"
"Pop, Idol, Rap/Hiphop"	"Casual, Street, Chic"	Dance	Photography
"Pop, Idol, Ballad"	"Casual, Workwear, Street"	Music Performances	Architecture
"Pop, Idol, Ballad"	"Chic, Preppy, Bohemian"	Music Performances	Architecture
"Ballad, R&B / Soul, Chinese"	"Casual, Workwear, Street"	Food	Food
"Pop, Ballad, Dance"	"Casual, Chic, Grunge"	Dance	Architecture
"Pop, Ballad, Indie"	"Street, Vintage, Bohemian"	Theater	Paintings
"Idol, Ballad, Dance"	"Casual, Vintage, Dandy"	Music Performances	Paintings
"Pop, Ballad, R&B / Soul"	"Casual, Workwear, Dandy"	Musicals	Art Design
"Pop, Idol, Rock / Metal"	"Casual, Workwear, Street"	Music Performances	Architecture
"Pop, Rap/Hiphop, Indie"	"Casual, Workwear, Dandy"	Music Performances	Photography
"Pop, Ballad, Rock / Metal"	"Casual, Workwear, Dandy"	Music Performances	Architecture
"Pop, Ballad, Dance"	"Casual, Athleisure, Chic"	Musicals	Sculptures
"Pop, Rock / Metal, EDM"	"Workwear, Athleisure, Street"	Music Performances	Art Design
"Pop, Idol, Ballad"	"Vintage, Chic, seethrough loom"		Photography
"Pop, R&B / Soul, Rock / Metal"	"Casual, Workwear, Street"	Musicals	Crafting
"Idol, Ballad, Rap/Hiphop"	"Casual, Workwear, Dandy"	Music Performances	Photography
"Pop, Idol, Dance"	"Casual, Workwear, Dandy"	Music Performances	Paintings
"Ballad, Dance, Rap/Hiphop"	"Casual, Vintage, Dandy"	Theater	Photography
"Pop, Rap/Hiphop, Rock / Metal"	"Casual, Workwear, Dandy"	Music Performances	Paintings
"Pop, Ballad, Dance"	"Casual, Workwear, Dandy"	Theater	Photography
"Pop, Dance, Indie"	"Casual, Workwear, Dandy"	Music Performances	Art Design
"Pop, Rap/Hiphop, R&B / Soul"	"Casual, Street, Chic"	Music Performances	Photography
"Ballad, R&B / Soul, Indie"	"Casual, Workwear, Dandy"	Musicals	Photography
"Idol, Ballad, Dance"	"Casual, Workwear, Dandy"	Musicals	Architecture
"Dance, Rap/Hiphop, R&B / Soul"	"Workwear, Street, Techwear"	Dance	Architecture
"Pop, Indie, Rock / Metal"	"Workwear, Techwear, Dandy"	Music Performances	Crafting
"Pop, Ballad, Indie"	"Casual, Workwear, Dandy"	Music Performances	Photography
"Ballad, R&B / Soul, Indie"	"Casual, Workwear, Dandy"	Musicals	Crafting
"Idol, Ballad, R&B / Soul"	"Casual, Workwear, Dandy"	Theater	Art Design
"Pop, Dance, Indie"	"Casual, Workwear, Chic"	Music Performances	Paintings
"Pop, Rap/Hiphop, R&B / Soul"	"Casual, Chic, Dandy"	Music Performances	Paintings
"Idol, Ballad, Indie"	"Casual, Workwear, Grunge"	Musicals	Architecture
"Pop, Idol, Dance"	"Casual, Vintage, Chic"	Theater	Crafting
"Pop, Ballad, R&B / Soul"	"Casual, Workwear, Dandy"	Music Performances	Crafting
"Ballad, R&B / Soul, Indie"	"Casual, Workwear, Street"	Musicals	Photography
"Idol, Dance, R&B / Soul"	"Casual, Workwear, Bohemian"	Musicals	Architecture
"Pop, Idol, Dance"	"Casual, Workwear, Chic"	Theater	Photography
"Pop, Rap/Hiphop, R&B / Soul"	"Casual, Street, Dandy"	Theater	Art Design
"Pop, Idol, Dance"	"Casual, Vintage, Preppy"	Musicals	Paintings
"Pop, Rap/Hiphop, R&B / Soul"	"Casual, Bohemian, Dandy"	Musicals	Crafting
"Pop, Dance, Rock / Metal"	"Street, Chic, Bohemian"	Musicals	Photography
"Pop, Idol, Ballad"	"Casual, Workwear, Dandy"	Musicals	Photography
"Pop, Rock / Metal, °Å?â??ç?ù"	"Workwear, Techwear, "	Musicals	
"Pop, Rap/Hiphop, Rock / Metal"	"Casual, Workwear, Dandy"	Music Performances	Architecture
"Pop, Ballad, Rap/Hiphop"	"Casual, Street, Chic"	Music Performances	Art Design
"Pop, Rap/Hiphop, Rock / Metal"	"Casual, Workwear, Dandy"	Musicals	Paintings
"Pop, Ballad, R&B / Soul"	"Workwear, Chic, Preppy"	Musicals	Paintings
"Pop, Ballad, Indie"	"Casual, Preppy, Grunge"	Theater	Paintings
"Pop, Idol, Rock / Metal"	"Vintage, Chic, Bohemian"	Music Performances	Crafting
"Ballad, Dance, R&B / Soul"	"Casual, Street, Dandy"	Musicals	Art Design
"Pop, Idol, Dance"	"Casual, Workwear, Dandy"	Theater	Photography
"Pop, Rap/Hiphop, R&B / Soul"	"Street, Grunge,"	Music Performances	Art Design
"Pop, Idol, Rap/Hiphop"	"Casual, Workwear, Vintage"	Music Performances	Art Design
"Pop, Idol, Ballad"	"Casual, Street, Chic"	Musicals	Art Design
"Pop, Ballad, Indie"	"Casual, Athleisure, Street"	Musicals	Paintings
"Ballad, Rap/Hiphop, R&B / Soul"	"Casual, Workwear, Dandy"	Music Performances	Photography
"Idol, Ballad, Indie"	"Chic, Preppy, Grunge"	Musicals	Photography
"Pop, Dance, Rap/Hiphop"	"Casual, Street, Chic"	Music Performances	Art Design
"Pop, Idol, Rock / Metal"	"Vintage, Techwear, Dandy"	Musicals	Sculptures
"Pop, Idol, R&B / Soul"	"Casual, Workwear, Chic"	Musicals	Paintings
"Rap/Hiphop, R&B / Soul, Indie"	"Workwear, Chic, Grunge"	Music Performances	Paintings
"Pop, Idol, Indie"	"Casual, Street, Chic"	Theater	Photography
"Pop, Idol, Dance"	"Casual, Workwear, Vintage"	Musicals	
"Pop, Idol, Rock / Metal"	"Street, Vintage, Grunge"	Music Performances	Photography
"Pop, Rap/Hiphop, Indie"	"Street, Chic, Grunge"	Music Performances	Photography
"Dance, Rap/Hiphop, Indie"	"Street, Vintage, Chic"	Dance	Paintings
"Pop, Rap/Hiphop, R&B / Soul"	"Casual, Athleisure, Street"	Music Performances	Crafting
"Pop, Ballad, R&B / Soul"	"Casual, Athleisure, Street"	Dance	Paintings
"Pop, Idol, Dance"	"Casual, Chic, Preppy"	Dance	Sculptures
"Pop, Idol, Indie"	"Street, Chic, Bohemian"	Music Performances	Paintings
"Pop, R&B / Soul, Indie"	"Workwear, Athleisure, Street"	Dance	Paintings
"Pop, Ballad, Rap/Hiphop"	"Casual, Workwear, Athleisure"	Dance	Photography
"Pop, Idol, Indie"	"Casual, Street, Grunge"	Music Performances	Photography
"Pop, Indie, alternative"	"Casual, Athleisure, Street"	Dance	Photography
"Pop, Dance, Rock / Metal"	"Casual, Vintage, Preppy"	Interdisciplinary Arts	Sculptures
"Idol, Rap/Hiphop, R&B / Soul"	"Athleisure, Street, Dandy"	Musicals	Photography
"Pop, Dance, Indie"	"Street, Chic, Techwear"	Music Performances	Architecture
"Pop, R&B / Soul, Indie"	"Casual, Athleisure, Street"	Music Performances	Art Design
"Pop, Indie, alternative"	"Casual, Street, Grunge"	Music Performances	Sculptures
"Pop, Indie, Lofi "	"Workwear, Chic, Preppy"	Animation	Art Design
"Idol, R&B / Soul, Indie"	"Street, Chic, Grunge"	Theater	Art Design
"Pop, Rap/Hiphop, EDM"	"Workwear, Street, Chic"	Music Performances	Photography
"Pop, Ballad, R&B / Soul"	"Casual, Street, Grunge"	Music Performances	Paintings
"Pop, R&B / Soul, Indie"	"Street, Vintage, Chic"	Musicals	Paintings
"Pop, Idol, R&B / Soul"	"Workwear, Athleisure, Chic"	Music Performances	Art Design
"Pop, Rap/Hiphop, R&B / Soul"	"Casual, Street, Grunge"	Music Performances	Paintings
"Idol, Dance, Indie"	"Casual, Workwear, Grunge"	Music Performances	Photography
